filename;car_number
HG0A4277.CR3;73
HG0A4278.CR3;88
HG0A4279.CR3;007
HG0A4282.CR3;63
HG0A4283.CR3;85
HG0A4284.CR3;71
HG0A4285.CR3;38
HG0A4286.CR3;45
HG0A4287.CR3;38
HG0A4288.CR3;83
HG0A4289.CR3;199
HG0A4290.CR3;007
HG0A4292.CR3;35
HG0A4293.CR3;34
HG0A4294.CR3;6
HG0A4295.CR3;6
HG0A4296.CR3;29
HG0A4297.CR3;21
HG0A4298.CR3;63
HG0A4300.CR3;51
HG0A4302.CR3;81
HG0A4303.CR3;61
HG0A4305.CR3;311
HG0A4308.CR3;51
HG0A4309.CR3;33
HG0A4310.CR3;93
HG0A4312.CR3;59
HG0A4314.CR3;13
HG0A4316.CR3;199
HG0A4318.CR3;48
HG0A4319.CR3;93
HG0A4320.CR3;80
HG0A4321.CR3;51
HG0A4322.CR3;85
HG0A4325.CR3;8
HG0A4328.CR3;80
HG0A4329.CR3;31
HG0A4330.CR3;22
HG0A4332.CR3;51
HG0A4333.CR3;71
HG0A4337.CR3;38
HG0A4338.CR3;33
HG0A4339.CR3;48
HG0A4340.CR3;4
HG0A4341.CR3;48
HG0A4342.CR3;48
HG0A4344.CR3;38
HG0A4346.CR3;63
HG0A4347.CR3;5
HG0A4348.CR3;64
HG0A4349.CR3;56
HG0A4351.CR3;007
HG0A4353.CR3;22
HG0A4354.CR3;93
HG0A4355.CR3;6
HG0A4357.CR3;33
HG0A4360.CR3;8
HG0A4361.CR3;8
HG0A4363.CR3;58
HG0A4364.CR3;56
HG0A4365.CR3;93
HG0A4367.CR3;61
HG0A4369.CR3;4
HG0A4370.CR3;45
HG0A4371.CR3;51
HG0A4372.CR3;37
HG0A4373.CR3;35
HG0A4375.CR3;64
HG0A4376.CR3;43
HG0A4377.CR3;63
HG0A4378.CR3;65
HG0A4379.CR3;46
HG0A4381.CR3;33
HG0A4382.CR3;5
HG0A4383.CR3;6
HG0A4384.CR3;21
HG0A4385.CR3;21
HG0A4386.CR3;80
HG0A4387.CR3;38
HG0A4388.CR3;8
HG0A4390.CR3;16
HG0A4392.CR3;28
HG0A4393.CR3;28
HG0A4396.CR3;83
HG0A4400.CR3;6
HG0A4401.CR3;6
HG0A4402.CR3;95
HG0A4403.CR3;54
HG0A4404.CR3;22
HG0A4405.CR3;80
HG0A4408.CR3;93
HG0A4409.CR3;93
HG0A4410.CR3;48
HG0A4412.CR3;5
HG0A4413.CR3;57
HG0A4414.CR3;57
HG0A4415.CR3;38
HG0A4416.CR3;58
HG0A4420.CR3;48
HG0A4422.CR3;32
HG0A4423.CR3;61
HG0A4424.CR3;18
HG0A4428.CR3;95
HG0A4429.CR3;73
HG0A4437.CR3;8
HG0A4438.CR3;22
HG0A4439.CR3;97
HG0A4440.CR3;33
HG0A4442.CR3;51
HG0A4444.CR3;31
HG0A4445.CR3;64
HG0A4447.CR3;34
HG0A4449.CR3;008
HG0A4451.CR3;6
HG0A4452.CR3;61
HG0A4455.CR3;36
HG0A4457.CR3;97
HG0A4460.CR3;37
HG0A4463.CR3;66
HG0A4465.CR3;86
HG0A4466.CR3;25
HG0A4467.CR3;98
HG0A4468.CR3;98
HG0A4469.CR3;74
HG0A4470.CR3;709
HG0A4471.CR3;6
HG0A4472.CR3;94
HG0A4473.CR3;50
HG0A4475.CR3;61
HG0A4476.CR3;311
HG0A4477.CR3;24
HG0A4478.CR3;93
HG0A4479.CR3;65
HG0A4480.CR3;7
HG0A4482.CR3;97
HG0A4484.CR3;150
HG0A4486.CR3;60
HG0A4488.CR3;86
HG0A4492.CR3;60
HG0A4493.CR3;4
HG0A4494.CR3;8
HG0A4495.CR3;007
HG0A4497.CR3;37
HG0A4498.CR3;83
HG0A4499.CR3;38
HG0A4500.CR3;64
HG0A4501.CR3;138
HG0A4502.CR3;7
HG0A4503.CR3;4
HG0A4505.CR3;777
HG0A4506.CR3;6
HG0A4507.CR3;57
HG0A4509.CR3;8
HG0A4510.CR3;64
HG0A4511.CR3;64
HG0A4513.CR3;37
HG0A4514.CR3;55
HG0A4515.CR3;01
HG0A4517.CR3;311
HG0A4518.CR3;62
HG0A4519.CR3;97
HG0A4520.CR3;4
HG0A4521.CR3;8
HG0A4522.CR3;52
HG0A4524.CR3;35
HG0A4526.CR3;8
HG0A4527.CR3;36
HG0A4529.CR3;51
HG0A4530.CR3;21
HG0A4532.CR3;51
HG0A4533.CR3;6
HG0A4534.CR3;6
HG0A4535.CR3;198
HG0A4536.CR3;180
HG0A4537.CR3;4
HG0A4538.CR3;97
HG0A4539.CR3;97
HG0A4540.CR3;34
HG0A4542.CR3;14
HG0A4543.CR3;42
HG0A4544.CR3;6
HG0A4545.CR3;6
HG0A4546.CR3;25
HG0A4547.CR3;66
HG0A4551.CR3;37
HG0A4552.CR3;48
HG0A4553.CR3;6
HG0A4554.CR3;29
HG0A4555.CR3;22
HG0A4557.CR3;38
HG0A4558.CR3;94
HG0A4559.CR3;80
HG0A4560.CR3;74
HG0A4561.CR3;597
HG0A4562.CR3;311
HG0A4563.CR3;97
HG0A4564.CR3;63
HG0A4565.CR3;6
HG0A4566.CR3;65
HG0A4567.CR3;23
HG0A4569.CR3;32
HG0A4570.CR3;48
HG0A4571.CR3;86
HG0A4574.CR3;93
HG0A4575.CR3;54
HG0A4576.CR3;56
HG0A4577.CR3;6
HG0A4578.CR3;9
HG0A4579.CR3;29
HG0A4580.CR3;38
HG0A4581.CR3;94
HG0A4582.CR3;21
HG0A4583.CR3;37
HG0A4585.CR3;77
HG0A4586.CR3;5
HG0A4587.CR3;86
HG0A4590.CR3;63
HG0A4591.CR3;36
HG0A4592.CR3;8
HG0A4593.CR3;56
HG0A4594.CR3;44
HG0A4595.CR3;63
HG0A4597.CR3;311
HG0A4598.CR3;48
HG0A4599.CR3;15
HG0A4600.CR3;97
HG0A4601.CR3;17
HG0A4602.CR3;707
HG0A4603.CR3;007
HG0A4604.CR3;97
HG0A4606.CR3;61
HG0A4608.CR3;11
HG0A4609.CR3;34
HG0A4611.CR3;38
HG0A4612.CR3;80
HG0A4613.CR3;00
HG0A4614.CR3;6
HG0A4615.CR3;51
HG0A4616.CR3;50
HG0A4617.CR3;51
HG0A4619.CR3;711
HG0A4622.CR3;56
HG0A4623.CR3;22
HG0A4624.CR3;22
HG0A4626.CR3;21
HG0A4627.CR3;28
HG0A4629.CR3;97
HG0A4630.CR3;698
HG0A4631.CR3;5
HG0A4632.CR3;7
HG0A4633.CR3;97
HG0A4634.CR3;777
HG0A4635.CR3;56
HG0A4636.CR3;34
HG0A4638.CR3;93
HG0A4639.CR3;4
HG0A4642.CR3;33
HG0A4643.CR3;46
HG0A4644.CR3;56
HG0A4645.CR3;94
HG0A4647.CR3;56
HG0A4649.CR3;43
HG0A4650.CR3;48
HG0A4651.CR3;21
HG0A4653.CR3;50
HG0A4654.CR3;33
HG0A4655.CR3;38
HG0A4656.CR3;4
HG0A4659.CR3;311
HG0A4660.CR3;38
HG0A4661.CR3;97
HG0A4663.CR3;69
HG0A4664.CR3;44
HG0A4665.CR3;23
HG0A4667.CR3;777
HG0A4669.CR3;36
HG0A4670.CR3;311
HG0A4672.CR3;22
HG0A4673.CR3;93
HG0A4675.CR3;93
HG0A4676.CR3;38
HG0A4680.CR3;160
HG0A4681.CR3;6
HG0A4683.CR3;50
HG0A4684.CR3;51
HG0A4685.CR3;51
HG0A4690.CR3;50
HG0A4692.CR3;6
HG0A4693.CR3;57
HG0A4695.CR3;24
HG0A4697.CR3;63
HG0A4698.CR3;29
HG0A4701.CR3;80
HG0A4703.CR3;8
HG0A4704.CR3;97
HG0A4706.CR3;89
HG0A4708.CR3;48
HG0A4712.CR3;83
HG0A4713.CR3;37
HG0A4715.CR3;80
HG0A4716.CR3;50
HG0A4717.CR3;94
HG0A4718.CR3;94
HG0A4719.CR3;25
HG0A4720.CR3;24
HG0A4723.CR3;6
HG0A4724.CR3;6
HG0A4726.CR3;97
HG0A4727.CR3;22
HG0A4728.CR3;708
HG0A4729.CR3;311
HG0A4730.CR3;64
HG0A4732.CR3;10
